name,program_number,model_type,lat,lon,address,phone,contract_type,summer_session
EAST TREMONT CC & DEV CTR,100501,GC,40.8431285,-73.8941853,"1811 CROTONA AVENUE BRONX, NY 10457",(718) 731-4166,FF,open during summer only
HAC/ DORIS E. STONE,100901,GH,40.8381814,-73.9289995,"1165 UNIVERSITY AVENUE BRONX, NY 10452",(718) 681-1529,FF,open during summer only
ALEENE LOGAN PRESCHOOL CTR,102401,GD,40.8376937,-73.9060893,"1450 WEBSTER AVENUE BRONX, NY 10456",(718) 293-0759,FF,
LOUIS A. FICKLING CHILD DEV CT,102402,GD,40.8326073,-73.9091575,"1240 WEBSTER AVENUE BRONX, NY 10456",(718) 538-7135,FF,
CMCS/ANNA LEFKOWITZ CDC,106301,GD,40.8169728,-73.9069525,"690 WESTCHESTER AVE BRONX, NY 10455",(718) 402-7179,FF,open during summer only
SUSAN E. WAGNER DCC,107501,GC,40.8860077,-73.8451046,"1140 E 229 STREET BRONX, NY 10466",(718) 547-1735,FF,open during summer only
DR. RICHARD GREEN LEARNING CTR,109403,null,40.8193037,-73.8484317,"2165 RANDALL AVENUE BRONX, NY 10473",(718) 904-1689,PP,open during summer only
VICTORY DCC,110101,GD,40.8760727,-73.8663128,"3440 WHITE PLAINS ROAD BRONX, NY 10467",(718) 655-5500,FF,open during summer only
WESTCHESTER TREMONT DCC ,110701,GC,40.8434513,-73.8485607,"2547 EAST TREMONT AVENUE BRONX, NY 10461",(718) 824-7390,FF,open during summer only
THROGGS NECK CHILD C C,117301,GC,40.8203488,-73.8227144,"461 SWINTON AVE BRONX, NY 10465",(718) 822-0172,FF,open during summer only
TRABAJAMOS COMMUNITY HS 4,118101,GD,40.8493108,-73.896061,"1997 BATHGATE AVENUE BRONX, NY 10457",(917) 259-7081,FF,open during summer only
WATSON AVENUE ECC,119001,GC,40.8280166,-73.8613681,"1880 WATSON AVENUE BRONX, NY 10472",(718) 828-9400,FF,open during summer only
TRABAJAMOS COMMUNITY HS 5,119701,GD,40.8580633,-73.9096114,"2167 UNIVERSITY AVENUE BRONX, NY 10453",,FF,open during summer only
LSSNY - EARLY LIFE CTR 4,119901,GC,40.8518332,-73.9171348,"200 W TREMONT AVE BRONX, NY 10453",(718) 294-3050,FF,open during summer only
MID BRONX CCRP ECC 4,120101,GD,40.833802,-73.9295829,"1022 SUMMIT AVENUE BRONX, NY 10452",(347) 498-1097,FF,open during summer only
TREMONT MONTEREY DAYCARE II,120201,GC,40.839106,-73.9009178,"1600 BATHGATE AVENUE BRONX, NY 10457",(718) 466-6700,FF,open during summer only
HMPS ILEANA RODRIGUEZ DCC,121501,null,40.8552241,-73.8991784,"2195 VALENTINE AVE BRONX, NY 10457",,PP,open during summer only
HIGHBRIDGE ADVSY CNCL ECC 1,121701,GC,40.8443499,-73.9132709,"1594-98 TOWNSEND AVENUE BRONX, NY 10452",,FF,open during summer only
RICHARD H. MANGUM ELC,121703,GC,40.8251115,-73.9138665,"383 EAST 162ND STREET BRONX, NY 10451",(718) 590-0673,FF,
LSSNY - EARLY LIFE CTR 1,121704,GD,40.8549427,-73.9043232,"80 EAST 181 STREET BRONX, NY 10453",(347) 297-2900,FF,open during summer only
HIGHBRIDGE ADVISORY CNL NELSON,121705,GC,40.8373442,-73.9260159,"1181 NELSON AVE BRONX, NY 10452",(718) 681-5216,FF,open during summer only
HIGHBRIDGE ADVISORY ECC#3,121706,GC,40.8422963,-73.9244269,"1399 OGDEN AVENUE BRONX, NY 10452",,FF,open during summer only
SOUND DALE CENTER FOR ECE,121901,GC,40.829785,-73.8710073,"1211 CROES AVENUE BRONX, NY 10472",(718) 378-3533,FF,open during summer only
BRONXDALE NURSERY,121902,GC,40.827025,-73.8656246,"1065 BEACH AVENUE BRONX, NY 10472",(718) 378-0400,FF,open during summer only
BELMONT COMMUNITY DCC,122101,GC,40.8536242,-73.8851273,"2340 CAMBRELENG AVE BRONX, NY 10458",(718) 584-1576,FF,open during summer only
LSSNY - EARLY LIFE CTR 2,122401,GD,40.8207558,-73.8995584,"888 WESTCHESTER AVENUE BRONX, NY 10459",(718) 450-3556,FF,open during summer only
NORTH BRONX NCNW CDC,122501,GD,40.8896696,-73.8598508,"4035 WHITE PLAINS RD. BRONX, NY 10466",(718) 231-7100,FF,open during summer only
BABOVE 52,125401,GD,40.8496043,-73.9118914,"1810 DAVIDSON AVE BRONX, NY 10453",(718) 466-7519,FF,open during summer only
1332 FULTON AVE DCC,125901,GC,40.8329977,-73.9024636,"1332 FULTON AVE BRONX, NY 10456",(718) 378-1330,FF,
IOLA'S JORDAN DCC,125902,GC,40.824276,-73.912896,"421 EAST 161 STREET BRONX, NY 10451",(718) 402-4166,FF,open during summer only
EAST BRONX DAY CARE CENTER,133201,GD,40.8258782,-73.8817042,"1113 COLGATE AVENUE BRONX, NY 10472",(718) 617-2900,FF,open during summer only
TREMONT CROTONA DAY CARE CTR,137801,GC,40.8364805,-73.8912568,"1600 CROTONA PK. E BRONX, NY 10460",(718) 378-5600,FF,open during summer only
BRONX RIVER CHILD CARE,137802,GC,40.834655,-73.8783966,"1555 EAST 174TH STREET BRONX, NY 10472",(718) 842-6582,FF,open during summer only
HAC/MARSHALL ENGLAND ,140601,GC,40.8240847,-73.9189648,"800 CONCOURSE VILLAGE E. BRONX, NY 10451",(718) 742-2370,FF,open during summer only
MID BRONX CCRP ECC 2,141701,GC,40.8431964,-73.9125139,"100-120 EAST MT EDEN AVENUE BRONX, NY 10452",(718) 684-4790,FF,open during summer only
LABOR BATHGATE COMM CCC,143201,GD,40.8423352,-73.9046927,"1638 ANTHONY AVENUE BRONX, NY 10457",(718) 583-3850,FF,open during summer only
CMCS/ CARDINAL MCCLOSKEY COMM ,144301,GD,40.818423,-73.918714,"629 COURTLANDT AVENUE BRONX, NY 10451",(718) 402-0081,FF,open during summer only
SALVATION ARMY BRONX CITADEL,150102,GC,40.8228155,-73.9132791,"425 EAST 159TH STREET BRONX, NY 10451",(718) 742-2346,FF,
BETANCES EARLY CHILDHOOD,150201,GD,40.8125473,-73.9151967,"528 EAST 146TH STREET BRONX, NY 10455",(718) 665-1100,FF,open during summer only
TOLENTINE-ZEISER DCC,156001,GC,40.8622294,-73.9064821,"2340 ANDREWS AVENUE BRONX, NY 10468",(718) 933-6935,FF,open during summer only
GWENDOLYN B. BLAND DCC,191502,GD,40.8229058,-73.9038706,"749 EAST 163RD STREET BRONX, NY 10456",(718) 991-1050,FF,open during summer only
BLONDELL G JOYNER,191503,GD,40.8217215,-73.9030488,"909 TINTON AVE BRONX, NY 10456",(718) 665-7791,FF,open during summer only
FIVE STAR DAY CARE CENTER,191504,GD,40.8246143,-73.9087548,"3261 THIRD AVE BRONX, NY 10456",(718) 292-4774,FF,open during summer only
NAT AZAROW CHILDREN'S CTR,300301,GD,40.668845,-73.9039496,"232 POWELL ST BROOKLYN, NY 11212",,FF,open during summer only
BREVOORT CHILDREN'S CENTER,300302,GD,40.6807928,-73.9236682,"250 RALPH AVENUE BROOKLYN, NY 11233",(718) 778-1069,FF,open during summer only
TOMPKINS CHILDRENS CENTER,300303,GD,40.6976371,-73.946232,"730 PARK AVENUE BROOKLYN, NY 11206",(718) 782-9140,FF,open during summer only
EDWARD L. CLEVELAND DCC,300304,GD,40.672793,-73.938391,"1185 PARK PLACE BROOKLYN, NY 11213",(718) 778-6559,FF,open during summer only
SUMNER CHILDREN'S CENTER,300305,GD,40.698215,-73.9406507,"860 PARK AVENUE BROOKLYN, NY 11206",(718) 455-3471,FF,open during summer only
LIFE - CONEY ISLAND,300401,GD,40.5783004,-73.999305,"2757 WEST 33RD ST BROOKLYN, NY 11224",(718) 942-4494,FF,open during summer only
ST. MALACHY ECDC,300403,GC,40.6769863,-73.8907526,"220 HENDRIX STREET BROOKLYN, NY 11207",(718) 647-0966,FF,
BUSHWICK UNITED HDFC 8,300407,GD,40.692647,-73.907501,"803 KNICKERBOCKER AVENUE BROOKLYN, NY 11207",(718) 975-8374,FF,open during summer only
CORNERSTONE DAY CARE CTR,303101,GC,40.6862285,-73.935454,"289 LEWIS AVENUE BROOKLYN, NY 11221",(718) 574-8300,FF,open during summer only
PAL LA PUERTA ABIERTA,304703,GD,40.572736,-74.0021668,"3001 WEST 37TH STREET BROOKLYN, NY 11224",(718) 373-1100,FF,open during summer only
HOWARD CHILDREN CENTER,304705,GD,40.672884,-73.909392,"1592 EAST NEW YORK AVE BROOKLYN, NY 11212",(718) 623-9803,FF,open during summer only
YWCA - ROBERTA BRIGHT ELC,304706,GD,40.572736,-74.0021668,"3001 WEST 37TH ST. BROOKLYN, NY 11224",(718) 266-5333,FF,open during summer only
SYLVIA KLEIN CCC,306101,GC,40.6691928,-73.8708966,"720 EUCLID AVENUE BROOKLYN, NY 11208",(718) 625-3810,FF,open during summer only
BREUKELEN DAY CARE CENTER,308201,GC,40.6487699,-73.8954925,"717 EAST 105TH STREET BROOKLYN, NY 11236",(718) 649-1463,FF,open during summer only
MARCY CHILDREN'S CENTER,308703,GD,40.6983022,-73.950276,"494 MARCY AVENUE BROOKLYN, NY 11206",(718) 855-7252,FF,
COOPER PARK CHILD CARE CTR,308706,GD,40.7189925,-73.9392849,"292 FROST STREET BROOKLYN, NY 11222",(718) 389-5959,FF,open during summer only
BBCS DUFFIELD CHLDRNS CTR,310903,GC,40.6927734,-73.9813316,"101 FLEET PLACE BROOKLYN, NY 11201",,FF,open during summer only
STRONG PLACE FOR HOPE CLINTON,312101,GC,40.6749008,-74.0015897,"595 CLINTON ST BROOKLYN, NY 11231",(718) 624-2993,FF,
SCO SERVICES - SARATOGA,314501,GD,40.6616832,-73.9160048,"774 SARATOGA AVENUE BROOKLYN, NY 11212",(718) 443-4100,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 17,314502,GC,40.6655645,-73.8791633,"921 HEGEMAN AVENUE BROOKLYN, NY 11208",(929) 234-2866,FF,
FRIENDS OF CROWN HEIGHTS 19,314503,GC,40.6615948,-73.8933066,"370 NEW LOTS AVE BROOKLYN, NY 11207",(929) 234-2838,FF,
FRIENDS OF CROWN HEIGHTS 18,314505,GC,40.6773373,-73.8780817,"851 LIBERTY AVENUE BROOKLYN, NY 11208",(929) 234-2955,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 15,314506,GC,40.6745464,-73.8796376,"2505 PITKIN AVE BROOKLYN, NY 11208",(929) 234-2850,FF,open during summer only
GRAND STREET SETT  STANHOPE,315401,GD,40.7030741,-73.9185646,"319 STANHOPE STREET BROOKLYN, NY 11237",(718) 381-8900,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 20,315901,GC,40.689996,-73.9535376,"34-52 KOSCIUSKO STREET BROOKLYN, NY 11205",(718) 638-3209,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 4,316001,GD,40.6522748,-73.9398934,"141 EAST 40TH ST BROOKLYN, NY 11203",(718) 284-2184,FF,open during summer only
MAGICAL YEARS ECC,316101,GC,40.6429373,-74.0224192,"230 60TH STREET BROOKLYN, NY 11220",(718) 439-0450,FF,open during summer only
WARREN STREET CENTER,316102,GC,40.6852728,-73.9902123,"343 WARREN STREET BROOKLYN, NY 11201",(718) 237-9578,FF,open during summer only
LIFE - AUDREY JOHNSON,316501,GD,40.6896779,-73.9040131,"272 MOFFAT STREET BROOKLYN, NY 11207",(718) 574-0130,FF,open during summer only
LIFE - JOHN COKER,316502,GD,40.6854659,-73.9104335,"1375 BUSHWICK AVENUE BROOKLYN, NY 11207",(718) 452-1414,FF,open during summer only
PARK PLACE DAY CARE CTR,316801,GC,40.6734588,-73.9455881,"963 PARK PLACE BROOKLYN, NY 11213",(718) 778-8558,FF,open during summer only
ACTION NURSERY ,317101,GD,40.6404958,-73.9962735,"1019 46TH STREET BROOKLYN, NY 11219",(718) 854-7778,FF,open during summer only
BOULEVARD NURSERY SCHOOL,318201,GC,40.661343,-73.8834184,"2150 LINDEN BOULEVARD BROOKLYN, NY 11207",(718) 649-2295,FF,open during summer only
STRONG PLACE FOR HOPE DCC,318601,GC,40.6739633,-73.9835092,"333 SECOND STREET BROOKLYN, NY 11215",(718) 499-0747,FF,open during summer only
CHARLES R DREW ELC 5,319501,GC,40.63395,-73.9498785,"2804-06 GLENWOOD ROAD BROOKLYN, NY 11210",(718) 434-1693,FF,open during summer only
GEORGIA L MCMURRAY BATKIDS,321201,GC,40.6455096,-74.0238947,"140 58TH STREET BROOKLYN, NY 11220",(718) 625-3810,FF,open during summer only
BAY RIDGE CHLD CARE CENTER,321202,GC,40.6507388,-74.0105857,"314-322 44TH. STREET BROOKLYN, NY 11220",(718) 625-3810,FF,open during summer only
WILLIAMSBURG CCC,321303,GD,40.7052771,-73.9638502,"110 TAYLOR STREET BROOKLYN, NY 11211",(347) 943-7683,FF,open during summer only
BILLY MARTIN CHD DEV CTR,323501,GC,40.6898512,-73.9598459,"333 CLASSON AVENUE BROOKLYN, NY 11205",(718) 857-5630,FF,open during summer only
BUSHWICK UNITED HDFC 7,325101,GD,40.6974188,-73.9282329,"600 HART STREET BROOKLYN, NY 11221",(347) 695-1562,FF,open during summer only
STAGG STREET CENTER FOR CHILD,325102,GC,40.7091467,-73.947131,"77-83 STAGG STREET BROOKLYN, NY 11206",(   )    -    ,FF,
UNITED ACADEMY #2,325701,GC,40.704981,-73.9528012,"60 HARRISON AVENUE BROOKLYN, NY 11211",(718) 935-9848,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 29,326401,GC,40.6731619,-73.9288846,"1435 PROSPECT PLACE BROOKLYN, NY 11213",(718) 778-1498,FF,
STRONG PLACE FOR HOPE ATLANTIC,328001,GC,40.6860743,-73.9831035,"460 ATLANTIC AVE 3RD FL BROOKLYN, NY 11217",(718) 522-1351,FF,
LSSNY - MARCUS GARVEY,330501,GD,40.6885488,-73.9388162,"265 MARCUS GARVEY BLVD BROOKLYN, NY 11221",(347) 689-8303,FF,open during summer only
ST. ANDREWS COMMUNITY DCC,330701,GC,40.6465163,-74.0120245,"4917 FOURTH AVENUE BROOKLYN, NY 11220",(718) 492-9678,FF,
FRIENDS OF CROWN HEIGHTS 10,330801,GC,40.6716911,-73.9545296,"1491 BEDFORD AVENUE BROOKLYN, NY 11216",(929) 234-2821,FF,open during summer only
